Macrotrends Data Download

Chile GDP Per Capita 1960-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, GDP Per Capita (US $), Annual Growth Rate (%), 
1960-12-31,504.8011
1961-12-31,580.8134,15.06
1962-12-31,663.8163,14.29
1963-12-31,646.0306,-2.68
1964-12-31,675.6993,4.59
1965-12-31,679.1979,0.52
1966-12-31,781.7782,15.1
1967-12-31,756.6911,-3.21
1968-12-31,757.6899,0.13
1969-12-31,865.7563,14.26
1970-12-31,931.1677,7.56
1971-12-31,1089.3427,16.99
1972-12-31,1166.376,7.07
1973-12-31,1632.3894,39.95
1974-12-31,1547.7976,-5.18
1975-12-31,716.3446,-53.72
1976-12-31,956.8486,33.57
1977-12-31,1273.0877,33.05
1978-12-31,1435.8413,12.78
1979-12-31,1929.0072,34.35
1980-12-31,2531.5733,31.24
1981-12-31,2965.3743,17.14
1982-12-31,2144.9858,-27.67
1983-12-31,1699.6925,-20.76
1984-12-31,1615.3619,-4.96
1985-12-31,1436.1769,-11.09
1986-12-31,1509.5326,5.11
1987-12-31,1750.6587,15.97
1988-12-31,2015.7353,15.14
1989-12-31,2276.3414,12.93
1990-12-31,2481.7397,9.02
1991-12-31,2789.8097,12.41
1992-12-31,3335.065,19.54
1993-12-31,3521.7118,5.6
1994-12-31,4011.6941,13.91
1995-12-31,5094.5055,26.99
1996-12-31,5376.1494,5.53
1997-12-31,5788.8599,7.68
1998-12-31,5467.5709,-5.55
1999-12-31,4981.1911,-8.9
2000-12-31,5097.1149,2.33
2001-12-31,4606.8906,-9.62
2002-12-31,4479.175,-2.77
2003-12-31,4824.2205,7.7
2004-12-31,6185.5148,28.22
2005-12-31,7561.8305,22.25
2006-12-31,9418.0627,24.55
2007-12-31,10461.3661,11.08
2008-12-31,10783.1708,3.08
2009-12-31,10182.8606,-5.57
2010-12-31,12767.782,25.39
2011-12-31,14628.5725,14.57
2012-12-31,15406.4928,5.32
2013-12-31,15833.2759,2.77
2014-12-31,14666.3431,-7.37
2015-12-31,13569.9481,-7.48
2016-12-31,13785.6876,1.59
2017-12-31,15045.5279,9.14
2018-12-31,15795.7081,4.99
2019-12-31,14627.145,-7.4
2020-12-31,13165.3863,-9.99
2021-12-31,16247.401,23.41
2022-12-31,15355.5065,-5.49
