Macrotrends Data Download

China GDP Per Capita 1960-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, GDP Per Capita (US $), Annual Growth Rate (%), 
1960-12-31,89.5202
1961-12-31,75.8056,-15.32
1962-12-31,70.9092,-6.46
1963-12-31,74.3134,4.8
1964-12-31,85.4982,15.05
1965-12-31,98.4864,15.19
1966-12-31,104.3242,5.93
1967-12-31,96.5892,-7.41
1968-12-31,91.4724,-5.3
1969-12-31,100.1295,9.46
1970-12-31,113.1626,13.02
1971-12-31,118.6541,4.85
1972-12-31,131.8855,11.15
1973-12-31,157.0891,19.11
1974-12-31,160.1477,1.95
1975-12-31,178.3396,11.36
1976-12-31,165.4042,-7.25
1977-12-31,185.4205,12.1
1978-12-31,156.3964,-15.65
1979-12-31,183.9832,17.64
1980-12-31,194.8047,5.88
1981-12-31,197.0715,1.16
1982-12-31,203.3349,3.18
1983-12-31,225.4319,10.87
1984-12-31,250.714,11.21
1985-12-31,294.4588,17.45
1986-12-31,281.9281,-4.26
1987-12-31,251.812,-10.68
1988-12-31,283.5377,12.6
1989-12-31,310.8819,9.64
1990-12-31,317.8847,2.25
1991-12-31,333.1421,4.8
1992-12-31,366.4607,10
1993-12-31,377.3898,2.98
1994-12-31,473.4899,25.46
1995-12-31,609.6044,28.75
1996-12-31,709.4159,16.37
1997-12-31,781.7426,10.2
1998-12-31,828.5947,5.99
1999-12-31,873.2976,5.4
2000-12-31,959.3604,9.85
2001-12-31,1053.1123,9.77
2002-12-31,1148.5142,9.06
2003-12-31,1288.6375,12.2
2004-12-31,1508.6679,17.07
2005-12-31,1753.4143,16.22
2006-12-31,2099.2193,19.72
2007-12-31,2693.9586,28.33
2008-12-31,3468.3271,28.74
2009-12-31,3832.2274,10.49
2010-12-31,4550.4739,18.74
2011-12-31,5614.3857,23.38
2012-12-31,6300.5824,12.22
2013-12-31,7020.3857,11.42
2014-12-31,7636.0742,8.77
2015-12-31,8016.446,4.98
2016-12-31,8094.3904,0.97
2017-12-31,8817.0455,8.93
2018-12-31,9905.4061,12.34
2019-12-31,10143.8602,2.41
2020-12-31,10408.7191,2.61
2021-12-31,12617.505,21.22
2022-12-31,12720.2156,0.81
