Macrotrends Data Download

Germany GDP Per Capita 1970-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, GDP Per Capita (US $), Annual Growth Rate (%), 
1970-12-31,2761.1668
1971-12-31,3192.1336,15.61
1972-12-31,3809.9814,19.36
1973-12-31,5046.7551,32.46
1974-12-31,5639.0776,11.74
1975-12-31,6236.3589,10.59
1976-12-31,6634.8569,6.39
1977-12-31,7682.9538,15.8
1978-12-31,9482.0428,23.42
1979-12-31,11281.0233,18.97
1980-12-31,12138.3081,7.6
1981-12-31,10209.0731,-15.89
1982-12-31,9913.7376,-2.89
1983-12-31,9864.3449,-0.5
1984-12-31,9313.1694,-5.59
1985-12-31,9429.5692,1.25
1986-12-31,13461.831,42.76
1987-12-31,16677.5108,23.89
1988-12-31,17931.2823,7.52
1989-12-31,17764.3764,-0.93
1990-12-31,22303.9613,25.55
1991-12-31,23357.7577,4.72
1992-12-31,26438.2304,13.19
1993-12-31,25522.6296,-3.46
1994-12-31,27076.6068,6.09
1995-12-31,31658.3494,16.92
1996-12-31,30485.8665,-3.7
1997-12-31,26964.0495,-11.55
1998-12-31,27289.0594,1.21
1999-12-31,26734.9425,-2.03
2000-12-31,23694.7605,-11.37
2001-12-31,23628.3272,-0.28
2002-12-31,25197.2656,6.64
2003-12-31,30310.3576,20.29
2004-12-31,34106.6581,12.52
2005-12-31,34520.2396,1.21
2006-12-31,36353.8803,5.31
2007-12-31,41640.0809,14.54
2008-12-31,45612.7106,9.54
2009-12-31,41650.3678,-8.69
2010-12-31,41572.4559,-0.19
2011-12-31,46705.8958,12.35
2012-12-31,43855.8545,-6.1
2013-12-31,46298.9229,5.57
2014-12-31,48023.87,3.73
2015-12-31,41103.2564,-14.41
2016-12-31,42136.1208,2.51
2017-12-31,44652.5892,5.97
2018-12-31,47939.2783,7.36
2019-12-31,46793.6868,-2.39
2020-12-31,46772.8254,-0.04
2021-12-31,51203.5545,9.47
2022-12-31,48432.4559,-5.41
