Macrotrends Data Download

Mexico GDP Per Capita 1960-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, GDP Per Capita (US $), Annual Growth Rate (%), 
1960-12-31,359.5451
1961-12-31,378.212,5.19
1962-12-31,392.9346,3.89
1963-12-31,424.1896,7.95
1964-12-31,485.8,14.52
1965-12-31,511.0207,5.19
1966-12-31,550.4699,7.72
1967-12-31,581.7294,5.68
1968-12-31,622.4251,7
1969-12-31,666.7434,7.12
1970-12-31,706.3132,5.93
1971-12-31,755.3325,6.94
1972-12-31,844.1729,11.76
1973-12-31,1000.9417,18.57
1974-12-31,1264.3615,26.32
1975-12-31,1499.3556,18.59
1976-12-31,1470.1911,-1.95
1977-12-31,1315.5992,-10.52
1978-12-31,1600.7625,21.68
1979-12-31,2039.1648,27.39
1980-12-31,3036.355,48.9
1981-12-31,3810.3101,25.49
1982-12-31,2612.6804,-31.43
1983-12-31,2166.577,-17.07
1984-12-31,2506.9,15.71
1985-12-31,2607.6687,4.02
1986-12-31,1765.264,-32.3
1987-12-31,1902.4622,7.77
1988-12-31,2302.022,21
1989-12-31,2759.4765,19.87
1990-12-31,3196.9199,15.85
1991-12-31,3756.8526,17.51
1992-12-31,4272.7883,13.73
1993-12-31,5778.9078,35.25
1994-12-31,5976.4941,3.42
1995-12-31,4002.1587,-33.04
1996-12-31,4487.2632,12.12
1997-12-31,5370.2446,19.68
1998-12-31,5555.7119,3.45
1999-12-31,6230.6972,12.15
2000-12-31,7232.9107,16.09
2001-12-31,7613.143,5.26
2002-12-31,7650.9319,0.5
2003-12-31,7120.3721,-6.93
2004-12-31,7525.4875,5.69
2005-12-31,8321.8599,10.58
2006-12-31,9125.3877,9.66
2007-12-31,9719.9279,6.52
2008-12-31,10119.8211,4.11
2009-12-31,8104.9226,-19.91
2010-12-31,9399.9647,15.98
2011-12-31,10341.5002,10.02
2012-12-31,10376.0905,0.33
2013-12-31,10865.6873,4.72
2014-12-31,11076.1341,1.94
2015-12-31,9753.4006,-11.94
2016-12-31,8875.0821,-9.01
2017-12-31,9434.3782,6.3
2018-12-31,9857.0075,4.48
2019-12-31,10145.1526,2.92
2020-12-31,8654.9973,-14.69
2021-12-31,10045.6764,16.07
2022-12-31,11091.3054,10.41
